frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","06:b3:6c:70:4f:ab","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.036505794","42","06:b3:6c:70:4f:ab","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.036530256","42","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab",,,"ARP","172.20.0.2 is at c6:96:25:ab:d1:61"
"4","0.036538454","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36052 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735203 TSecr=0 WS=128"
"5","0.036557526","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36052 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306133 TSecr=2182735203 WS=128"
"6","0.036573085","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36052 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735203 TSecr=2877306133"
"7","0.036613744","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.036620152","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36052 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306133 TSecr=2182735203"
"9","0.045077952","2053","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.045113895","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36052 → 4433 [ACK] Seq=1704 Ack=1988 Win=64128 Len=0 TSval=2182735211 TSecr=2877306141"
"11","0.050383122","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.050444614","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36052 → 4433 [RST, ACK] Seq=1784 Ack=1988 Win=64128 Len=0 TSval=2182735217 TSecr=2877306141"
"13","0.065473444","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36064 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735232 TSecr=0 WS=128"
"14","0.065502809","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36064 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306162 TSecr=2182735232 WS=128"
"15","0.065522653","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36064 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735232 TSecr=2877306162"
"16","0.065563611","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.065570464","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36064 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306162 TSecr=2182735232"
"18","0.071513894","2051","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.071544110","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36064 → 4433 [ACK] Seq=1704 Ack=1986 Win=64128 Len=0 TSval=2182735238 TSecr=2877306168"
"20","0.076809075","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.076886157","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36064 → 4433 [RST, ACK] Seq=1784 Ack=1986 Win=64128 Len=0 TSval=2182735243 TSecr=2877306168"
"22","0.092965940","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36076 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735259 TSecr=0 WS=128"
"23","0.092995416","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36076 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306189 TSecr=2182735259 WS=128"
"24","0.093014712","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36076 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735259 TSecr=2877306189"
"25","0.093066214","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.093073714","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36076 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306189 TSecr=2182735259"
"27","0.099267961","2052","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.099323575","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36076 → 4433 [ACK] Seq=1704 Ack=1987 Win=64128 Len=0 TSval=2182735266 TSecr=2877306195"
"29","0.104886974","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.104955570","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36076 → 4433 [RST, ACK] Seq=1784 Ack=1987 Win=64128 Len=0 TSval=2182735271 TSecr=2877306195"
"31","0.126999456","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36078 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735293 TSecr=0 WS=128"
"32","0.127040363","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36078 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306223 TSecr=2182735293 WS=128"
"33","0.127073257","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36078 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735293 TSecr=2877306223"
"34","0.127151934","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"35","0.127162287","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36078 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306223 TSecr=2182735293"
"36","0.133444912","2053","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"37","0.133492318","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36078 → 4433 [ACK] Seq=1704 Ack=1988 Win=64128 Len=0 TSval=2182735300 TSecr=2877306230"
"38","0.138906980","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"39","0.138980253","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36078 → 4433 [RST, ACK] Seq=1784 Ack=1988 Win=64128 Len=0 TSval=2182735305 TSecr=2877306230"
"40","0.154445927","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36082 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735321 TSecr=0 WS=128"
"41","0.154477923","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36082 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306251 TSecr=2182735321 WS=128"
"42","0.154498323","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36082 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735321 TSecr=2877306251"
"43","0.154552408","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"44","0.154558092","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36082 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306251 TSecr=2182735321"
"45","0.160624079","2053","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"46","0.160655509","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36082 → 4433 [ACK] Seq=1704 Ack=1988 Win=64128 Len=0 TSval=2182735327 TSecr=2877306257"
"47","0.165766892","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"48","0.165821462","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36082 → 4433 [RST, ACK] Seq=1784 Ack=1988 Win=64128 Len=0 TSval=2182735332 TSecr=2877306257"
"49","0.180526936","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36098 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735347 TSecr=0 WS=128"
"50","0.180556789","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36098 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306277 TSecr=2182735347 WS=128"
"51","0.180578279","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36098 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735347 TSecr=2877306277"
"52","0.180616783","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"53","0.180622993","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36098 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306277 TSecr=2182735347"
"54","0.186396587","2051","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"55","0.186430446","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36098 → 4433 [ACK] Seq=1704 Ack=1986 Win=64128 Len=0 TSval=2182735353 TSecr=2877306283"
"56","0.191691090","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"57","0.191754174","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36098 → 4433 [RST, ACK] Seq=1784 Ack=1986 Win=64128 Len=0 TSval=2182735358 TSecr=2877306283"
"58","0.206523788","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36104 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735373 TSecr=0 WS=128"
"59","0.206549432","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36104 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306303 TSecr=2182735373 WS=128"
"60","0.206568893","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36104 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735373 TSecr=2877306303"
"61","0.206609389","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"62","0.206615177","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36104 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306303 TSecr=2182735373"
"63","0.212533643","2053","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"64","0.212565081","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36104 → 4433 [ACK] Seq=1704 Ack=1988 Win=64128 Len=0 TSval=2182735379 TSecr=2877306309"
"65","0.217833533","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"66","0.217896154","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36104 → 4433 [RST, ACK] Seq=1784 Ack=1988 Win=64128 Len=0 TSval=2182735384 TSecr=2877306309"
"67","0.237547697","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36110 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735404 TSecr=0 WS=128"
"68","0.237577713","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36110 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306334 TSecr=2182735404 WS=128"
"69","0.237598660","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36110 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735404 TSecr=2877306334"
"70","0.237653488","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"71","0.237660987","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36110 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306334 TSecr=2182735404"
"72","0.248317936","2053","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"73","0.248373837","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36110 → 4433 [ACK] Seq=1704 Ack=1988 Win=64128 Len=0 TSval=2182735415 TSecr=2877306344"
"74","0.253919550","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"75","0.254003405","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36110 → 4433 [RST, ACK] Seq=1784 Ack=1988 Win=64128 Len=0 TSval=2182735420 TSecr=2877306344"
"76","0.269794795","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36112 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735436 TSecr=0 WS=128"
"77","0.269823248","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36112 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306366 TSecr=2182735436 WS=128"
"78","0.269842427","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36112 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735436 TSecr=2877306366"
"79","0.269886943","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"80","0.269892008","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36112 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306366 TSecr=2182735436"
"81","0.280314048","2052","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"82","0.280376650","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36112 → 4433 [ACK] Seq=1704 Ack=1987 Win=64128 Len=0 TSval=2182735447 TSecr=2877306376"
"83","0.285910328","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"84","0.285984734","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36112 → 4433 [RST, ACK] Seq=1784 Ack=1987 Win=64128 Len=0 TSval=2182735452 TSecr=2877306376"
"85","0.304727160","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36118 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735471 TSecr=0 WS=128"
"86","0.304758270","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36118 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306401 TSecr=2182735471 WS=128"
"87","0.304834317","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36118 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735471 TSecr=2877306401"
"88","0.305063504","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"89","0.305123982","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36118 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306401 TSecr=2182735471"
"90","0.315579108","2052","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"91","0.315637771","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36118 → 4433 [ACK] Seq=1704 Ack=1987 Win=64128 Len=0 TSval=2182735482 TSecr=2877306412"
"92","0.321204746","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"93","0.321306830","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36118 → 4433 [RST, ACK] Seq=1784 Ack=1987 Win=64128 Len=0 TSval=2182735487 TSecr=2877306412"
"94","0.336720207","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36124 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735503 TSecr=0 WS=128"
"95","0.336751724","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36124 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306433 TSecr=2182735503 WS=128"
"96","0.336772076","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36124 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735503 TSecr=2877306433"
"97","0.336819174","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"98","0.340310812","321","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 36124 → 4433 [PSH, ACK] Seq=1449 Ack=1 Win=64256 Len=255 TSval=2182735507 TSecr=2877306433"
"99","0.340316820","78","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36124 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306437 TSecr=2182735507 SLE=1449 SRE=1704"
"100","0.342896814","2052","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"101","0.342924440","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36124 → 4433 [ACK] Seq=1704 Ack=1987 Win=64128 Len=0 TSval=2182735509 TSecr=2877306439"
"102","0.348127910","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"103","0.348183381","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36124 → 4433 [RST, ACK] Seq=1784 Ack=1987 Win=64128 Len=0 TSval=2182735514 TSecr=2877306439"
"104","0.362957557","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36134 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735529 TSecr=0 WS=128"
"105","0.362982435","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36134 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877306459 TSecr=2182735529 WS=128"
"106","0.362999536","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36134 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182735529 TSecr=2877306459"
"107","0.363041788","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"108","0.363049116","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36134 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877306459 TSecr=2182735529"
"109","0.372310936","603","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","SSL","[TCP Previous segment not captured] , Continuation Data"
"110","0.372342290","78","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 106#1] 36134 → 4433 [ACK] Seq=1704 Ack=1 Win=64256 Len=0 TSval=2182735539 TSecr=2877306459 SLE=1449 SRE=1986"
"111","0.372353552","1514","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","[TCP Retransmission] 4433 → 36134 [ACK] Seq=1 Ack=1704 Win=64128 Len=1448 TSval=2877306469 TSecr=2182735539"
"112","0.372367040","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36134 → 4433 [ACK] Seq=1704 Ack=1986 Win=64128 Len=0 TSval=2182735539 TSecr=2877306469"
"113","0.377570733","146","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Change Cipher Spec, Application Data"
"114","0.377628163","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36134 → 4433 [RST, ACK] Seq=1784 Ack=1986 Win=64128 Len=0 TSval=2182735544 TSecr=2877306469"
"115","0.392402629","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36142 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182735559 TSecr=0 WS=128"
"116","1.000738968","42","06:b3:6c:70:4f:ab","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"117","1.438350135","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36142 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877307535 TSecr=2182735559 WS=128"
"118","1.438367380","74","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 36142 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182736605 TSecr=0 WS=128"
"119","1.438383464","74","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","[TCP Out-Of-Order] 4433 → 36142 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877307535 TSecr=2182735559 WS=128"
"120","1.438417909","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","36142 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182736605 TSecr=2877307535"
"121","1.438440679","66","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 120#1] 36142 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182736605 TSecr=2877307535"
"122","1.438488042","1769","06:b3:6c:70:4f:ab","c6:96:25:ab:d1:61","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"123","1.438494469","66","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TCP","4433 → 36142 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=2877307535 TSecr=2182736605"
"124","1.444544984","1514","c6:96:25:ab:d1:61","06:b3:6c:70:4f:ab","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data"
